fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
11.6;0.48;0.49;1.2;0.013;11;35;0.9989;3.11;0.52;9.3;5
8.6;0.65;0.48;3.6;0.186;7;23;0.9976;3.23;0.62;12.2;5
8.8;0.87;0.37;3.5;0.052;10;28;0.9986;3.38;0.96;10.9;5
8.2;0.5;0.34;1.7;0.037;26;83;0.9975;3.36;1.15;13.3;6
5.0;0.35;0.61;1.4;0.167;30;104;0.9966;3.24;0.94;8.4;6
8.3;0.73;0.27;1.4;0.013;5;14;0.9968;3.35;0.62;10.6;5
8.4;0.51;0.04;3.0;0.064;8;30;0.9966;3.3;0.75;10.9;6
12.6;0.14;0.36;2.7;0.06;11;32;0.9943;3.16;0.77;10.4;8
8.0;0.68;0.68;3.5;0.027;37;115;0.9948;3.5;0.72;10.0;5
8.8;0.43;0.07;5.4;0.046;72;108;0.9981;3.34;0.49;11.8;6
8.3;0.51;0.2;3.0;0.075;4;9;0.9943;3.03;0.7;10.9;6
6.3;0.59;0.35;1.5;0.09;17;35;0.9959;3.39;0.57;8.6;5
10.3;0.56;0.26;1.6;0.012;7;21;0.9947;3.22;0.49;9.5;5
9.6;0.65;0.08;4.0;0.178;1;6;0.9958;3.27;0.61;9.2;5
9.7;0.45;0.49;1.6;0.023;1;6;0.9964;3.31;0.71;10.3;6
6.7;0.62;0.72;1.3;0.028;8;31;0.9959;3.19;0.83;11.4;6
10.8;0.48;0.31;3.0;0.03;9;32;0.994;3.59;0.61;10.0;6
5.9;0.66;0.09;2.0;0.014;1;6;0.9963;3.08;0.64;10.1;5
9.3;0.64;0.0;5.0;0.02;15;52;0.9949;3.32;0.79;9.4;5
12.1;0.36;0.32;2.8;0.27;5;17;0.9955;3.37;0.67;11.2;6
6.6;0.72;0.49;1.3;0.035;11;31;0.9981;3.32;0.72;11.7;5
7.3;0.43;0.36;5.6;0.019;5;18;0.9985;3.28;0.67;10.4;6
8.5;0.67;0.27;1.6;0.019;3;13;0.9942;3.25;0.69;12.1;5
7.4;0.59;0.16;1.8;0.088;7;25;0.9997;3.19;0.47;9.8;5
5.6;0.86;0.06;2.0;0.128;4;13;0.9957;3.18;0.68;8.9;4
8.4;0.49;0.43;1.3;0.03;10;23;0.9956;3.49;0.9;11.3;6
6.5;0.47;0.45;2.2;0.013;4;15;0.995;3.24;0.69;10.3;6
9.1;0.52;0.0;1.4;0.027;10;18;0.9968;3.64;0.52;9.8;6
6.7;0.47;0.58;2.0;0.015;3;6;1.0005;3.41;0.91;10.5;6
11.0;0.67;0.38;1.8;0.019;14;47;0.9938;2.9;0.78;8.7;5
7.0;0.24;0.54;3.4;0.046;18;41;0.9928;3.45;0.79;8.5;7
7.8;0.34;0.01;3.6;0.028;2;9;0.9972;3.3;0.78;10.5;6
9.7;0.34;0.0;1.4;0.056;9;14;0.9978;3.1;0.47;10.9;6
6.2;0.7;0.24;1.9;0.03;2;7;0.9968;3.51;0.77;11.9;5
8.7;0.83;0.37;1.9;0.181;12;44;0.9978;3.24;0.89;11.4;5
10.6;0.51;0.62;1.4;0.154;5;14;0.9946;3.23;0.58;11.1;6
5.5;0.5;0.41;3.6;0.062;10;15;0.9949;3.37;0.33;11.8;5
8.6;0.54;0.22;3.0;0.038;10;16;0.9969;3.49;0.72;10.9;6
8.8;0.74;0.07;1.5;0.041;32;102;1.0;3.33;0.66;10.1;5
9.7;0.36;0.51;1.9;0.044;11;30;0.9978;3.32;0.39;11.4;7
6.2;0.57;0.08;1.4;0.09;11;41;0.9979;3.2;0.76;11.4;5
6.0;0.7;0.59;2.7;0.048;7;21;0.9947;3.48;0.75;10.4;5
9.2;0.62;0.22;1.4;0.129;37;106;0.9975;3.33;0.41;9.1;5
8.8;0.56;0.58;7.6;0.185;19;29;0.9945;3.28;0.98;8.5;6
8.8;0.71;0.4;3.5;0.037;5;18;1.0001;3.26;0.79;11.3;5
8.9;0.12;0.24;1.9;0.061;23;58;0.9948;3.47;0.34;10.9;7
7.1;0.65;0.17;2.5;0.018;8;21;0.9952;3.27;0.8;11.1;5
8.7;0.41;0.2;4.8;0.025;22;48;0.9939;3.47;0.79;11.4;6
8.8;0.2;0.35;2.4;0.044;22;38;0.9969;3.24;0.9;9.5;7
7.1;0.62;0.29;1.5;0.026;4;15;0.9968;3.42;0.55;8.4;5
11.6;0.77;0.16;1.9;0.138;15;56;0.9996;3.34;0.8;11.0;5
9.1;0.5;0.24;4.0;0.022;5;19;0.9982;3.16;0.62;11.7;6
6.2;0.7;0.29;2.8;0.048;5;15;0.9952;3.3;0.56;10.8;5
9.5;0.82;0.0;2.8;0.068;5;8;0.9984;2.97;0.51;8.8;4
6.6;0.76;0.36;4.2;0.083;17;77;0.9943;3.2;0.33;10.7;5
9.7;0.82;0.08;4.6;0.041;4;14;0.9953;3.07;0.75;9.2;5
10.3;0.66;0.05;5.0;0.134;1;6;0.9969;3.62;0.61;8.8;5
6.9;0.54;0.0;1.3;0.062;16;44;0.9945;3.07;0.33;10.4;5
10.0;0.24;0.0;2.4;0.047;3;6;0.9987;3.71;0.67;10.6;7
9.0;0.48;0.01;3.2;0.016;2;9;1.001;3.39;0.85;10.3;6
9.8;0.38;0.13;3.3;0.049;4;9;0.9961;3.23;0.44;10.9;6
11.6;0.92;0.65;2.6;0.115;7;23;0.9955;3.44;0.54;9.6;3
7.9;0.5;0.17;1.5;0.069;9;32;0.9965;3.21;0.73;10.5;6
7.0;0.55;0.31;3.6;0.119;2;6;0.9956;3.09;0.33;9.9;5
6.8;0.63;0.35;3.1;0.053;43;146;0.9972;3.32;0.57;10.2;5
6.9;0.54;0.3;1.3;0.02;16;66;0.9942;3.42;0.72;10.7;5
8.2;0.83;0.26;2.1;0.013;6;13;0.9973;3.51;0.56;11.6;5
8.9;0.42;0.04;1.5;0.034;6;18;1.0003;3.39;0.44;10.7;6
8.8;0.56;0.55;1.8;0.084;8;23;0.9929;3.23;0.45;11.1;5
9.8;0.4;0.62;1.2;0.106;13;20;0.9945;3.52;0.38;10.4;6
8.3;0.29;0.0;2.0;0.033;3;9;0.9959;3.49;0.55;10.9;7
10.8;0.42;0.07;2.4;0.053;4;14;0.9977;3.35;0.84;11.5;7
7.9;0.52;0.22;2.6;0.045;25;101;0.9984;3.5;1.06;12.4;6
13.1;0.45;0.08;2.8;0.044;5;20;0.9982;3.65;0.66;11.7;6
9.4;0.4;0.37;3.9;0.028;7;11;0.9935;3.23;0.79;10.4;6
6.8;0.28;0.13;1.6;0.021;26;110;0.9954;3.17;0.5;11.6;7
6.5;0.51;0.69;1.4;0.025;14;44;0.995;3.22;0.33;11.0;6
9.2;0.26;0.5;4.1;0.015;6;26;0.9966;3.1;0.97;9.8;7
7.9;0.66;0.31;1.5;0.025;15;40;0.9967;3.4;0.56;11.0;5
9.6;0.54;0.47;6.7;0.013;1;6;0.9941;3.06;0.78;9.2;5
9.1;0.27;0.49;4.0;0.071;17;34;0.9959;3.51;0.68;11.0;7
8.2;0.47;0.16;2.2;0.035;9;33;0.9978;3.21;0.83;12.3;6
6.8;0.39;0.11;7.2;0.229;21;72;0.9955;3.52;0.82;11.3;6
5.7;0.59;0.29;1.4;0.025;38;80;0.9963;2.92;0.71;11.7;6
7.5;0.77;0.44;1.7;0.037;32;48;0.9999;3.25;0.72;10.0;5
9.8;0.19;0.3;2.7;0.039;30;99;1.0005;3.11;0.86;10.9;7
8.7;0.55;0.0;1.8;0.013;10;33;0.9926;3.52;0.59;11.2;6
6.2;0.5;0.11;5.2;0.122;6;14;0.9969;3.57;0.92;10.1;6
8.6;0.65;0.26;1.3;0.014;9;17;1.0022;2.95;0.54;11.2;5
9.0;0.57;0.26;2.4;0.181;15;53;0.9976;3.44;0.67;10.9;6
6.8;0.39;0.66;2.5;0.146;27;120;0.9967;3.48;0.76;11.2;6
8.6;0.47;0.0;2.8;0.058;4;10;0.9992;3.36;0.38;9.3;5
8.4;0.39;0.37;1.6;0.059;31;71;0.9971;3.4;0.89;11.8;7
6.3;0.72;0.56;1.9;0.076;21;69;0.998;3.39;0.74;10.9;5
8.9;0.53;0.71;4.0;0.041;47;166;0.9963;3.44;1.22;10.3;6
9.3;0.87;0.19;1.5;0.075;26;72;0.9971;3.14;1.01;10.3;5
10.2;0.52;0.37;3.8;0.015;5;23;0.9975;3.5;0.66;10.4;6
10.2;0.4;0.38;2.4;0.015;2;9;0.9983;3.34;0.96;9.5;6
5.9;0.26;0.31;3.4;0.049;2;7;0.9959;3.33;0.8;11.7;7
6.7;0.21;0.25;3.1;0.06;5;9;0.9958;3.4;0.7;11.5;7
9.2;0.24;0.36;1.5;0.143;12;50;0.993;3.12;0.38;11.5;7
9.2;0.58;0.0;2.5;0.019;21;81;0.996;3.07;0.42;12.0;5
9.2;0.62;0.4;4.2;0.116;29;79;0.9985;3.29;0.66;10.6;5
15.0;0.24;0.3;2.0;0.026;13;42;0.9976;3.55;0.57;8.6;7
9.3;0.69;0.23;6.3;0.042;1;6;0.9948;3.13;0.7;11.1;5
10.3;0.44;0.67;2.1;0.035;3;12;0.9931;3.34;0.89;11.1;6
10.0;0.55;0.14;1.4;0.043;2;6;0.9964;3.2;0.81;12.1;6
9.5;0.82;0.19;1.9;0.022;6;13;0.9985;3.18;0.54;11.6;4
7.8;0.69;0.66;5.7;0.054;9;34;0.9958;3.39;0.82;10.6;5
9.6;0.48;0.11;1.8;0.109;2;6;0.994;3.43;0.5;10.3;6
7.0;0.37;0.16;4.2;0.047;6;16;0.9956;3.19;0.46;11.5;6
7.9;0.14;0.24;4.4;0.052;3;8;0.9973;3.52;0.72;8.4;7
7.5;0.4;0.43;1.8;0.125;13;53;0.9991;3.38;0.52;10.7;6
8.5;0.49;0.31;1.3;0.085;8;21;0.9962;3.27;0.55;11.4;6
12.3;0.35;0.02;3.1;0.052;9;28;0.9987;3.36;0.83;10.3;7
5.1;0.5;0.17;1.8;0.03;8;23;0.9985;3.62;0.77;10.0;5
9.5;0.54;0.15;3.5;0.142;38;70;0.9945;3.43;0.59;10.7;5
5.5;0.49;0.26;2.1;0.064;4;12;0.9991;3.2;0.38;11.9;6
7.5;0.41;0.35;2.2;0.027;10;30;0.9973;3.31;0.53;10.9;6
10.2;0.56;0.35;3.5;0.031;17;56;0.9944;3.33;0.99;9.7;5
8.4;0.61;0.0;1.9;0.11;11;34;1.0;3.41;0.82;11.7;6
6.4;0.33;0.48;2.1;0.015;33;154;0.9965;3.35;0.9;11.9;7
7.1;0.78;0.32;1.9;0.302;7;26;0.993;3.6;0.7;9.6;5
9.5;0.51;0.54;1.9;0.02;8;26;0.9954;3.28;0.6;13.4;7
7.0;0.53;0.36;2.3;0.107;2;7;0.9949;3.04;0.81;10.4;6
8.7;0.65;0.49;3.7;0.042;12;54;0.9954;3.34;0.88;11.4;5
8.4;0.57;0.36;1.9;0.053;5;19;0.9959;3.24;0.58;11.2;6
7.2;0.7;0.53;2.3;0.14;3;6;0.9962;3.08;0.54;9.7;5
12.1;0.58;0.37;2.9;0.044;10;39;0.9961;3.2;0.4;9.9;5
9.4;0.42;0.25;1.7;0.058;10;40;0.9965;3.26;0.53;10.5;6
4.8;0.59;0.71;1.7;0.015;2;8;0.9978;3.49;0.77;8.4;5
8.6;0.32;0.44;5.3;0.012;15;41;0.9953;3.08;0.56;11.3;7
7.2;0.55;0.38;3.1;0.029;13;33;0.9989;3.36;0.82;8.4;6
9.8;0.52;0.02;2.5;0.08;4;8;0.9944;3.65;0.99;10.4;6
6.9;0.49;0.02;2.8;0.02;9;28;0.9979;3.28;0.66;9.7;6
8.1;0.5;0.33;1.2;0.019;16;58;0.9998;3.28;0.66;11.0;6
9.2;0.19;0.3;2.6;0.044;10;26;0.9964;3.42;0.75;8.4;7
9.8;0.43;0.15;2.3;0.075;7;20;0.9971;3.39;0.56;8.6;6
6.2;0.54;0.3;2.4;0.087;6;9;0.9949;3.53;0.55;9.8;5
7.7;0.56;0.58;1.9;0.024;12;52;0.9957;3.29;0.55;11.0;6
7.5;0.34;0.41;1.3;0.017;35;60;0.9997;3.42;0.46;10.7;6
7.2;0.75;0.05;1.5;0.181;14;47;0.9981;3.42;0.81;11.5;5
11.4;0.37;0.25;5.7;0.03;2;6;0.9975;3.26;0.57;10.5;6
9.0;0.7;0.11;2.0;0.127;8;26;0.993;3.29;0.85;10.4;5
6.1;0.6;0.2;2.1;0.131;28;84;0.9953;3.31;0.75;9.3;5
9.9;0.41;0.19;1.3;0.101;2;6;1.0;3.12;0.65;10.2;6
12.0;0.85;0.18;1.3;0.023;55;151;0.9975;3.25;0.8;10.4;5
10.1;0.31;0.03;3.1;0.115;37;139;0.9977;3.54;0.5;8.4;6
5.7;0.69;0.25;2.4;0.1;2;8;0.997;3.47;0.53;9.5;5
7.5;0.71;0.16;2.3;0.066;34;89;0.9955;3.22;0.78;10.9;5
10.5;0.41;0.0;1.6;0.037;6;11;0.9973;3.31;0.33;10.6;6
7.1;0.78;0.67;3.2;0.03;23;56;0.9938;3.46;0.66;10.1;5
9.1;0.48;0.48;1.5;0.02;8;34;0.9936;3.38;0.76;9.8;6
9.7;0.58;0.2;1.5;0.055;8;19;0.9953;3.43;0.88;8.6;5
6.7;0.57;0.27;2.1;0.065;13;38;0.9971;3.39;0.92;8.4;5
8.2;0.5;0.04;1.7;0.039;19;78;0.9937;3.34;0.64;10.1;6
4.6;0.67;0.6;1.6;0.051;1;6;0.9969;3.29;0.79;12.0;5
6.5;0.67;0.64;2.8;0.039;12;34;0.9948;3.13;0.52;10.5;5
7.9;0.22;0.3;2.8;0.073;3;13;0.9951;3.42;0.58;11.5;7
6.1;0.76;0.47;3.8;0.151;6;27;0.9992;3.28;0.89;9.2;5
11.2;0.23;0.31;2.0;0.023;6;15;0.9968;3.06;0.65;10.7;7
5.8;0.71;0.01;1.3;0.041;9;35;0.995;3.23;0.69;9.7;5
7.6;0.73;0.19;1.7;0.021;6;16;0.9971;3.44;0.48;9.6;5
8.5;0.33;0.3;7.1;0.071;2;6;0.9939;3.02;0.73;11.2;7
10.8;0.45;0.18;2.6;0.09;3;9;0.9974;3.15;0.79;10.3;6
5.8;0.33;0.23;3.1;0.173;1;6;0.9988;3.33;0.78;8.9;6
10.3;0.49;0.25;1.2;0.032;9;29;0.998;3.53;0.45;10.5;6
8.3;0.47;0.26;2.3;0.192;38;210;1.0008;3.46;0.83;9.7;6
6.6;0.67;0.28;1.3;0.016;2;10;0.993;3.54;0.49;8.9;5
9.1;0.76;0.06;2.5;0.067;36;105;0.9969;3.34;0.65;9.4;5
8.7;0.78;0.13;5.0;0.016;17;65;0.9941;3.28;0.38;12.6;5
7.3;0.43;0.02;6.4;0.147;13;30;0.9964;3.44;0.63;11.7;6
8.4;0.49;0.46;2.4;0.057;13;32;0.9967;3.17;0.49;8.4;5
7.6;0.23;0.0;2.1;0.078;22;65;1.001;3.16;0.58;10.2;7
8.5;0.38;0.5;5.6;0.119;2;7;0.9966;3.13;0.67;10.3;6
9.5;0.7;0.54;2.9;0.022;9;19;0.9966;3.48;0.8;10.1;5
11.1;0.82;0.21;1.3;0.014;15;42;0.9986;3.18;0.79;9.7;4
6.2;0.31;0.0;2.1;0.139;12;33;0.9966;3.47;0.33;11.2;6
12.0;0.42;0.2;1.6;0.035;22;95;1.0002;3.33;0.77;11.4;6
4.9;0.52;0.26;2.2;0.02;2;6;0.998;3.48;0.69;11.5;6
8.1;0.58;0.07;2.1;0.05;15;29;0.9983;3.14;0.56;10.8;5
9.3;0.38;0.17;2.5;0.067;10;32;0.9932;3.21;0.51;11.1;6
8.8;0.6;0.57;1.9;0.014;7;26;1.0005;3.38;0.65;10.1;5
7.2;0.44;0.4;1.5;0.031;6;21;0.9955;3.24;0.7;8.7;6
8.0;0.53;0.09;2.3;0.014;13;41;0.9967;2.93;0.72;8.7;5
7.5;0.63;0.0;3.9;0.045;28;76;0.9955;3.1;0.62;9.5;5
7.3;0.53;0.21;2.8;0.147;9;33;0.9948;3.14;0.33;10.2;5
9.8;0.45;0.23;1.8;0.255;22;80;0.9944;3.15;0.57;9.0;6
8.9;0.51;0.37;5.3;0.073;7;20;0.9969;3.42;0.46;9.2;5
7.1;0.51;0.17;4.8;0.023;2;6;0.993;3.36;1.01;10.0;6
9.9;0.46;0.37;1.6;0.154;2;6;0.9962;3.34;0.67;11.3;6
8.9;0.48;0.65;1.3;0.056;2;6;0.9987;3.62;0.78;10.8;6
9.7;0.81;0.43;3.2;0.022;7;12;0.9979;3.49;0.77;9.5;5
9.4;0.63;0.26;3.8;0.165;6;26;0.9975;3.43;0.71;10.5;5
6.9;0.48;0.24;6.4;0.097;16;43;0.995;3.08;0.59;9.0;6
7.3;0.65;0.2;4.5;0.091;17;56;0.9937;3.32;0.57;9.5;5
9.6;0.47;0.5;2.6;0.086;2;6;0.9987;3.36;0.33;8.6;5
9.4;0.74;0.15;2.3;0.025;4;10;0.9958;3.25;0.68;10.9;5
8.3;0.59;0.28;1.2;0.026;5;13;0.9965;3.57;0.71;10.1;5
8.5;0.51;0.28;1.6;0.082;11;33;0.9963;3.32;0.65;10.3;6
10.5;0.61;0.17;2.1;0.027;3;7;0.998;3.12;0.68;11.3;6
7.3;0.25;0.0;2.7;0.047;3;6;1.0002;3.16;0.45;9.4;6
9.3;0.33;0.33;2.4;0.103;36;79;0.9995;3.66;0.61;10.9;6
8.0;0.31;0.26;3.2;0.104;21;82;0.9923;3.25;0.55;12.5;6
7.9;0.55;0.37;1.7;0.048;3;11;0.9961;2.99;0.77;9.4;5
10.2;0.84;0.17;2.4;0.106;7;17;0.9941;3.22;0.66;8.7;4
9.8;0.93;0.51;1.3;0.121;6;23;0.9985;3.03;0.55;9.1;4
9.7;0.64;0.1;2.0;0.076;20;48;0.9967;3.45;0.63;10.8;5
10.6;0.62;0.6;3.3;0.028;10;14;0.9979;3.01;0.48;12.3;6
8.4;0.21;0.0;3.0;0.031;3;9;0.996;3.1;0.6;12.2;7
9.5;0.43;0.36;8.2;0.035;17;74;0.9947;3.31;0.76;11.3;6
7.8;0.39;0.36;1.7;0.019;7;24;0.9951;3.48;0.43;11.4;6
8.9;0.42;0.12;2.2;0.031;5;7;0.9938;3.3;0.65;10.9;6
8.1;0.5;0.35;1.8;0.026;7;20;0.9943;3.12;0.53;11.2;6
8.5;0.44;0.52;2.1;0.048;9;26;0.9939;3.34;0.43;10.7;6
9.4;0.17;0.0;4.1;0.155;6;20;0.9947;3.24;0.98;9.6;7
6.9;0.66;0.37;2.9;0.019;4;10;0.9946;3.49;0.87;12.3;5
